ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
6/5/2013,94,227,186,28,0.0099999997764825821,1.4500000476837158,4.690000057220459,1.5800000429153442
6/6/2013,572,259,168,37,0,1.4099999666213989,3.4200000762939453,3.4100000858306885
6/7/2013,657,211,163,13,0,1.0499999523162842,3.2799999713897705,0.76999998092651367
6/8/2013,604,213,59,48,0.0099999997764825821,1.3799999952316284,2.5399999618530273,6.679999828338623
6/9/2013,833,143,31,1,0.0099999997764825821,1.1399999856948853,1,0.070000000298023224
6/10/2013,548,248,174,15,0,1.1000000238418579,3.3299999237060547,0.88999998569488525
6/11/2013,612,183,167,36,0,0.89999997615814209,3.8399999141693115,2.3199999332427979
6/12/2013,648,277,71,22,0,1.5099999904632568,2.9100000858306885,1.7200000286102295
6/13/2013,594,290,77,7,0.0099999997764825821,1.8400000333786011,2.8299999237060547,0.54000002145767212
6/14/2013,678,243,114,13,0,1.8500000238418579,2.7999999523162842,0.8399999737739563
6/15/2013,956,283,93,3,0.0099999997764825821,2.1500000953674316,2.1099998950958252,0.2199999988079071
6/16/2013,678,197,104,3,0,1.4199999570846558,4.53000020980835,0.23999999463558197
6/17/2013,712,193,78,7,0,1.3300000429153442,1.6699999570846558,0.46000000834465027
6/18/2013,719,200,40,65,0.019999999552965164,1.7899999618530273,0.87000000476837158,9.0299997329711914
6/19/2013,655,243,105,46,0.0099999997764825821,1.0399999618530273,2.619999885559082,3.0499999523162842
6/20/2013,636,260,62,6,0.0099999997764825821,1.75,1.5399999618530273,0.41999998688697815
6/21/2013,725,149,58,62,0,0.99000000953674316,1.3799999952316284,8.6000003814697266
6/22/2013,1112,237,55,0,0,1.3700000047683716,1.0700000524520874,0
6/23/2013,380,82,32,1,0,0.54000002145767212,0.73000001907348633,0.079999998211860657
6/24/2013,562,216,99,10,0.0099999997764825821,1.809999942779541,3.380000114440918,0.70999997854232788
6/25/2013,752,188,71,1,0.0099999997764825821,1.2899999618530273,1.4299999475479126,0.05000000074505806
6/26/2013,712,203,47,64,0,1.2699999809265137,1.0800000429153442,9
6/27/2013,228,131,53,30,0,0.75,1.4299999475479126,3.6400001049041748
6/28/2013,778,198,51,2,0.0099999997764825821,1.25,1.0499999523162842,0.14000000059604645
6/29/2013,965,330,105,6,0.0099999997764825821,2.0799999237060547,3.4000000953674316,0.56999999284744263
6/30/2013,703,336,90,0,0,2.5999999046325684,2.309999942779541,0.079999998211860657
7/1/2013,631,198,48,6,0,1.1699999570846558,1.2200000286102295,0.46000000834465027
7/2/2013,680,235,71,34,0.0099999997764825821,2.2899999618530273,2.0199999809265137,4.4899997711181641
7/3/2013,961,246,112,8,0,1.2200000286102295,3.75,0.50999999046325684
7/4/2013,1120,19,1,0,0,0.039999999105930328,0,0
7/5/2013,1113,246,81,0,0.0099999997764825821,2.1700000762939453,2.25,0
7/6/2013,1438,2,0,0,0,0,0,0
7/7/2013,1098,273,69,0,0.019999999552965164,2.440000057220459,1.5299999713897705,0
7/8/2013,814,225,25,2,0.0099999997764825821,1.4900000095367432,0.73000001907348633,0.15999999642372131
7/9/2013,1092,281,41,26,0.0099999997764825821,2.0499999523162842,1.3500000238418579,3.5
7/10/2013,198,220,57,4,0.0099999997764825821,1.9800000190734863,1.9900000095367432,0.28999999165534973
7/11/2013,858,126,17,0,0,0.550000011920929,0.57999998331069946,0
7/12/2013,1175,177,76,12,0,1.1399999856948853,3.4100000858306885,0.949999988079071
7/13/2013,1179,165,44,1,0.0099999997764825821,1.4299999475479126,1.6200000047683716,0.070000000298023224
7/14/2013,694,189,36,47,0,1.3200000524520874,1.2200000286102295,6.5
7/15/2013,213,205,55,28,0,1.1399999856948853,2.1600000858306885,2.1099998950958252
7/16/2013,835,159,23,3,0,0.99000000953674316,0.95999997854232788,0.23000000417232513
7/17/2013,985,22,3,0,0,0.019999999552965164,0.029999999329447746,0
7/18/2013,1241,156,38,5,0,0.95999997854232788,1.3600000143051147,0.38999998569488525
7/19/2013,822,166,50,1,0,1.5499999523162842,1.7200000286102295,0.12999999523162842
7/20/2013,1114,274,50,2,0.0099999997764825821,2.0799999237060547,1.7799999713897705,0.12999999523162842
7/21/2013,1440,0,0,0,0,0,0,0
7/22/2013,1440,0,0,0,0,0,0,0
7/23/2013,1440,0,0,0,0,0,0,0
7/24/2013,1425,12,3,0,0,0.0099999997764825821,0.0099999997764825821,0
7/25/2013,1409,26,5,0,0,0.070000000298023224,0,0
7/26/2013,539,275,178,4,0.019999999552965164,2.2100000381469727,5.0799999237060547,0.27000001072883606
7/27/2013,613,300,111,1,0,2.9500000476837158,2.1500000953674316,0.059999998658895493
7/28/2013,932,22,3,0,0,0.05000000074505806,0,0
7/29/2013,728,212,123,17,0.019999999552965164,1.440000057220459,3.6600000858306885,1.3400000333786011
7/30/2013,613,213,86,13,0,1.1200000047683716,3.0099999904632568,1.0099999904632568
7/31/2013,697,225,87,20,0,1.0900000333786011,4.4000000953674316,1.559999942779541
8/1/2013,782,227,70,6,0,1.8500000238418579,2.0899999141693115,0.46000000834465027
8/2/2013,938,260,223,19,0.019999999552965164,3.0099999904632568,9.7100000381469727,1.25
8/3/2013,1440,0,0,0,0,0,0,0
8/4/2013,935,84,13,0,0,0.31000000238418579,0.28999999165534973,0
8/5/2013,658,193,158,40,0,1.1499999761581421,8.130000114440918,3.2300000190734863
8/6/2013,645,335,100,5,0,2.4000000953674316,3.1600000858306885,0.37000000476837158
8/7/2013,857,309,173,33,0,2.0999999046325684,8.0299997329711914,2.5699999332427979
8/8/2013,679,205,130,24,0.0099999997764825821,0.79000002145767212,7.1100001335144043,1.7999999523162842
8/9/2013,207,225,59,6,0.0099999997764825821,1.1499999761581421,1.9500000476837158,0.47999998927116394
8/10/2013,1076,208,102,20,0.0099999997764825821,1.9099999666213989,3.4600000381469727,1.5299999713897705
8/11/2013,496,268,141,4,0.019999999552965164,2.3900001049041748,3.8199999332427979,0.31000000238418579
8/12/2013,1405,26,9,0,0,0.029999999329447746,0.10999999940395355,0
8/13/2013,1408,29,3,0,0,0.019999999552965164,0,0
8/14/2013,1200,169,55,16,0.0099999997764825821,0.73000001907348633,1.940000057220459,1.2599999904632568
8/15/2013,1133,190,102,15,0,1.2400000095367432,4,1.2100000381469727
8/16/2013,1084,270,80,6,0.0099999997764825821,2.4300000667572021,1.9199999570846558,0.41999998688697815
8/17/2013,989,283,144,24,0.0099999997764825821,3.3399999141693115,5.3600001335144043,1.7999999523162842
8/18/2013,1423,12,5,0,0,0.14000000059604645,0.079999998211860657,0
8/19/2013,1440,0,0,0,0,0,0,0
8/20/2013,1325,75,29,11,0,0.33000001311302185,1.1100000143051147,0.9100000262260437
8/21/2013,1218,171,49,2,0,1.5199999809265137,2.0999999046325684,0.25
8/22/2013,1214,150,65,11,0.0099999997764825821,0.81000000238418579,2.3299999237060547,0.87999999523162842
8/23/2013,1258,106,74,2,0,1.2000000476837158,2.1400001049041748,0.14000000059604645
8/24/2013,1417,12,10,1,0,0.15999999642372131,0.20000000298023224,0.079999998211860657
8/25/2013,1176,176,85,3,0.0099999997764825821,1.7799999713897705,1.9099999666213989,0.25
8/26/2013,954,25,9,0,0,0.05000000074505806,0.10000000149011612,0
8/27/2013,984,28,9,0,0,0.05000000074505806,0.019999999552965164,0
8/28/2013,517,262,91,4,0,0.95999997854232788,2.2400000095367432,0.27000001072883606
8/29/2013,546,261,128,30,0,1.3600000143051147,5.679999828338623,2.2599999904632568
8/30/2013,762,168,74,15,0,0.64999997615814209,2.9800000190734863,1.1799999475479126
8/31/2013,1425,12,3,0,0,0.019999999552965164,0.039999999105930328,0
9/1/2013,1418,20,2,0,0,0.059999998658895493,0,0
9/2/2013,967,319,99,55,0.0099999997764825821,3,2.5799999237060547,7.619999885559082
9/3/2013,1111,223,78,28,0,1.4800000190734863,2,2.309999942779541
9/4/2013,1311,88,36,5,0.0099999997764825821,0.44999998807907104,1.1200000047683716,0.37999999523162842
9/5/2013,1440,0,0,0,0,0,0,0
9/6/2013,1415,22,3,0,0,0.029999999329447746,0,0
9/7/2013,1407,29,4,0,0,0.019999999552965164,0.019999999552965164,0
9/8/2013,951,291,131,67,0.0099999997764825821,2.9300000667572021,3.2400000095367432,8.4399995803833
9/9/2013,1014,329,91,6,0.0099999997764825821,2.1400001049041748,2.4300000667572021,0.52999997138977051
9/10/2013,795,219,86,5,0.0099999997764825821,1.0900000333786011,2.3900001049041748,0.36000001430511475
9/11/2013,988,256,79,29,0,1.3999999761581421,1.6100000143051147,2.1500000953674316
9/12/2013,765,287,64,12,0.0099999997764825821,1.6399999856948853,1.3700000047683716,0.81999999284744263
9/13/2013,1092,235,60,31,0,1.4199999570846558,1.4700000286102295,2.4700000286102295
9/14/2013,1096,16,3,0,0,0.039999999105930328,0,0
9/15/2013,1440,0,0,0,0,0,0,0
9/16/2013,1203,163,66,8,0,0.949999988079071,1.7599999904632568,0.5899999737739563
9/17/2013,1172,174,76,18,0,0.92000001668930054,2.25,1.2400000095367432
9/18/2013,1440,0,0,0,0,0,0,0
9/19/2013,255,164,80,3,0,1.2300000190734863,2.1600000858306885,0.20999999344348907
9/20/2013,449,15,4,0,0,0.0099999997764825821,0.029999999329447746,0
9/21/2013,806,43,14,0,0,0.05000000074505806,0.090000003576278687,0
9/22/2013,680,222,99,21,0.0099999997764825821,1.4900000095367432,4.8499999046325684,1.690000057220459
9/23/2013,882,151,40,7,0.0099999997764825821,0.76999998092651367,1,0.50999999046325684
9/24/2013,767,199,62,13,0.0099999997764825821,1.0499999523162842,1.3400000333786011,0.89999997615814209
9/25/2013,820,163,78,13,0.0099999997764825821,1.1000000238418579,2.2200000286102295,0.93000000715255737
9/26/2013,1254,141,41,4,0,0.77999997138977051,1.1699999570846558,0.31999999284744263
9/27/2013,1201,163,67,9,0,1.2000000476837158,1.6200000047683716,0.6600000262260437
9/28/2013,1440,0,0,0,0,0,0,0
9/29/2013,1416,22,2,0,0,0.019999999552965164,0.029999999329447746,0
9/30/2013,1440,0,0,0,0,0,0,0
10/1/2013,1440,0,0,0,0,0,0,0
10/2/2013,1440,0,0,0,0,0,0,0
10/3/2013,1440,0,0,0,0,0,0,0
10/4/2013,1440,0,0,0,0,0,0,0
10/5/2013,1438,1,1,0,0,0,0.0099999997764825821,0
10/6/2013,1440,0,0,0,0,0,0,0
10/7/2013,1440,0,0,0,0,0,0,0
10/8/2013,1007,291,75,1,0.0099999997764825821,2.2799999713897705,2.7599999904632568,0.12999999523162842
10/9/2013,534,326,68,3,0.0099999997764825821,2.9000000953674316,2.2899999618530273,0.20999999344348907
10/10/2013,843,136,33,9,0,0.54000002145767212,1.0099999904632568,0.81999999284744263
10/11/2013,811,174,29,0,0.0099999997764825821,1.190000057220459,0.76999998092651367,0
10/12/2013,1333,78,23,6,0,0.25999999046325684,0.95999997854232788,0.44999998807907104
10/13/2013,1206,180,50,4,0,1.0499999523162842,1.7699999809265137,0.36000001430511475
10/14/2013,1425,4,4,0,0,0.0099999997764825821,0.05000000074505806,0
10/15/2013,640,301,70,10,0.0099999997764825821,1.3500000238418579,2.0299999713897705,0.99000000953674316
10/16/2013,621,249,76,16,0,1.1200000047683716,2.7899999618530273,1.2999999523162842
10/17/2013,723,222,56,7,0.0099999997764825821,0.95999997854232788,2.059999942779541,0.52999997138977051
10/18/2013,1020,24,3,0,0,0.11999999731779099,0.05000000074505806,0
10/19/2013,1201,169,63,7,0,1.0199999809265137,2.3199999332427979,0.56000000238418579
10/20/2013,1170,148,70,52,0.0099999997764825821,1.0700000524520874,2.0399999618530273,2.190000057220459
10/21/2013,1343,5,6,0,0,0.029999999329447746,0.079999998211860657,0
10/22/2013,880,170,64,12,0,0.99000000953674316,2.130000114440918,0.89999997615814209
10/23/2013,775,222,58,8,0,1.1699999570846558,2.1500000953674316,0.61000001430511475
10/24/2013,1039,197,49,10,0.0099999997764825821,0.97000002861022949,1.7200000286102295,0.75
10/25/2013,1001,16,2,0,0,0.0099999997764825821,0.0099999997764825821,0
10/26/2013,1440,0,0,0,0,0,0,0
10/27/2013,1440,0,0,0,0,0,0,0
10/28/2013,1440,0,0,0,0,0,0,0
10/29/2013,1439,1,0,0,0,0,0,0
10/30/2013,1440,0,0,0,0,0,0,0
10/31/2013,1440,0,0,0,0,0,0,0
11/1/2013,1440,0,0,0,0,0,0,0
11/2/2013,1440,0,0,0,0,0,0,0
11/3/2013,1272,143,25,0,0,1.309999942779541,0.8399999737739563,0
11/4/2013,1075,185,49,9,0,0.75999999046325684,1.8300000429153442,0.92000001668930054
11/5/2013,625,264,38,8,0,1.4500000476837158,1.1200000047683716,0.62000000476837158
11/6/2013,846,168,38,5,0,1.0399999618530273,1.2899999618530273,0.31000000238418579
11/7/2013,829,157,66,20,0,0.81999999284744263,2.6600000858306885,1.5900000333786011
11/8/2013,668,266,67,10,0,1.3500000238418579,2.2699999809265137,0.68000000715255737
11/9/2013,483,439,94,3,0.0099999997764825821,3.119999885559082,3.2100000381469727,0.23000000417232513
11/10/2013,1071,284,75,7,0.039999999105930328,1.7899999618530273,2.5999999046325684,0.54000002145767212
